Folio,edad,genero,facebook,twitter,whatsapp,snapchat,instagram,messenger,youtube,tiktok,otras,videojuegos,influencers,uso de redes
S6-11,11,DENIS MICHELL CRUZ GARCIA,,,,,,,1,,netflix,,,musica
S6-13,,MASCULINO,,,,,,,1,,,1,,videos  
S6-14,13,FEMENINO,1,,1,,,1,,,,,,musica
S6-15 ,11,MASCULINO,1,,,,1,,1,,"netflix, spotify",1,,
S6-16,12,MASCULINO,,,,,,,1,,,1,,
S6-17,12,MASCULINO,,,,,,,1,,,,,musica
S6-18,11,MASCULINO,1,,,1,,1,1,,,1,,musica
S6-19,11,FEMENINO,,,,,,,1,1,,1,,musica
S6-21,11,MASCULINO,,,,,,,1,,,1,,
S6-21,12,FEMENINO,,,1,,,,,,,,,
S6-22,13,EDA,,,,,,,1,,,1,fernanfloo,musica
S6-23,10,MASCULINO,1,,,,,,1,1,"neflix, spotify",1,,
S9-1,12,FEMENINO,,,,,,,,,,,,
S9-2,14,FEMENINO,1,,1,1,1,1,,,,,,
S9-3,12,MASCULINO,,,,,1,,,,,,,memes
S9-4,15,FEMENINO,1,,1,,,,,,,,,memes
S9-5,12,MASCULINO,,,1,,,,,,,,,
S9-6,12,FEMENINO,,,1,,,,,,,,,
S9-7,11,FEMENINO,,,1,1,,,,,,,,
S9-8,13,MASCULINO,1,,1,,,1,,,,,,
S9-9,13,MASCULINO,1,1,1,,1,,,,,1,,
S9-10,12,FEMENINO,,1,1,,1,,,,,,,musica
S9-11,14,MASCULINO,1,,1,,,,,,,,,memes
S9-12,13,FEMENINO,1,,1,,1,,,,,,,memes
S9-13,12,FEMENINO,1,,,,,,,,,1,,
S9-14,12,FEMENINO,1,,,,,,,,,,,memes
S9-15,13,FEMENINO,,,,,1,,,,,,,memes
S9-16,12,FEMENINO,1,,1,,1,,,,,,,
S9-17,12,MASCULINO,1,,,,1,,,,,,,
S9-18,13,FEMENINO,1,,1,,1,,,,,,,
S9-19,14,FEMENINO,1,,1,1,,,,,,,,
S9-20,13,FEMENINO,1,,1,,1,1,,,,,,
S9-21,13,MASCULINO,1,,1,,1,,,,,,,memes
S9-22,14,MASCULINO,1,,1,,,1,,,,,,
S9-23,14,MASCULINO,1,,1,,1,1,,,,,,videos  
S9-24,14,MASCULINO,1,,1,,,1,,,,,,memes
S9-25,12,FEMENINO,1,,,,,,,,,,,
S9-26,13,FEMENINO,1,,,,1,,,,,,,memes
S9-27,14,FEMENINO,1,,1,,,1,,,,,,videos  
S9-28,14,MASCULINO,,,1,,,,,,,,,
S9-29,12,FEMENINO,1,,,,,,,,,,,musica
S9-30,12,FEMENINO,1,,,,,,,,,,,
S10-1,17,FEMENINO,1,,,,1,,,,,,,
S10-2,17,MASCULINO,1,,,,1,,,,,,,
S10-3,17,MASCULINO,1,,,,1,,,,,,,
S10-4,17,FEMENINO,1,1,,,1,,,,,,,
S10-5,16,MASCULINO,1,1,,,1,,,,,,,
S10-6,16,MASCULINO,1,,,,1,,,,,,,
S10-7,17,MASCULINO,1,,,,1,,,,,,,
S10-8,17,MASCULINO,1,,,,1,,,,,,,
S10-9,17,FEMENINO,1,,,,1,,,,,,,
S10-10,16,MASCULINO,1,,,,,,,,,,,
S10-11,18,MASCULINO,1,,,,,,,,,,,
S10-12,16,MASCULINO,1,,,,,,,,,,,
S10-13,17,MASCULINO,,,,,,,,,,,,
S10-14,18,MASCULINO,1,,,,,,,,,,,
S10-15,18,MASCULINO,1,,,,1,,,,,,,
S10-16,17,MASCULINO,1,,,,1,,,,,,,
S10-17,17,MASCULINO,1,1,,,1,,,,,,,
S10-18,17,MASCULINO,1,,,,1,,,,,,,
S10-19,13,MASCULINO,1,1,,1,1,,,,tinder,,,
S10-20,17,MASCULINO,1,,,1,1,,,,,,,
S10-21,17,MASCULINO,1,1,,,1,,,,,,,
S10-22,17,MASCULINO,1,1,,,1,,,,,,,
S10-23,16,FEMENINO,1,,,,1,,,,,,,
S10-24,17,MASCULINO,1,,,,,,,,,,,
S10-25,16,MASCULINO,1,,,,,,,,,,,
S10-26,17,MASCULINO,1,,,,1,,,,,,,
S10-27,17,MASCULINO,1,,,,1,,,,,,,
S10-28,17,MASCULINO,1,,,,1,,,,,,,
S10-29,17,MASCULINO,1,,,,1,,,,,,,
S10-30,17,FEMENINO,1,1,,1,1,,,,,,,
S10-31,17,MASCULINO,1,1,,,1,,,,,,,
S10-32,17,MASCULINO,1,,,,1,,,,,,,
S10-33,17,MASCULINO,1,1,,,,,,,,,,
S10-34,18,MASCULINO,1,,,,,,,,,,,
S10-35,16,FEMENINO,1,,,,1,,,,,,,
S10-36,17,MASCULINO,1,,,,1,,,,,,,
S10-37,17,MASCULINO,1,1,,1,1,,,,,,,
S10-38,16,MASCULINO,1,,,,,,,,,,,
S10-39,17,MASCULINO,1,,,,1,,,,,,,
S10-40,17,FEMENINO,1,1,,1,1,,,,,,,
S10-41,17,MASCULINO,1,,,,1,,,,,,,
S10-42,17,MASCULINO,1,,,,1,,,,,,,
S10-43,17,FEMENINO,1,,,,1,,,,,,,
S10-44,18,FEMENINO,1,1,,1,1,,,,,,,
S10-45,17,FEMENINO,1,,,,,,,,,,,
S10-46,16,MASCULINO,1,,,,1,,,,,,,
S10-47,17,FEMENINO,1,,,,1,,,,,,,
S10-48,17,FEMENINO,1,,,,1,,,,,,,
S10-49,17,MASCULINO,1,,,,,,,,,,,
S10-50,17,MASCULINO,1,,,,1,,,,,,,
S10-51,17,FEMENINO,1,,,,1,,,,,,,
S10-52,17,FEMENINO,,,,,1,,,,,,,
S10-53,15,MASCULINO,1,,,,,,,,,,,
S10-54,18,FEMENINO,1,,,,,,,,,,,
S10-55,16,FEMENINO,1,,,1,1,,,,,,,
S10-56,17,MASCULINO,1,,,,1,,,,,,,
S10-57,17,FEMENINO,1,1,,1,1,,,,,,,
S10-58,11,MASCULINO,,,,,,,,,,,,
S10-59,8,MASCULINO,,,,,,,,,,,,
S10-60,11,FEMENINO,,,,,,,,,,,,
S10-61,8,MASCULINO,,,,,1,,,,,,,
S10-62,11,FEMENINO,,,,,,,,,,,,
S10-63,11,FEMENINO,1,,,,1,,,,,,,
S10-64,14,MASCULINO,1,,,,,,,,,,,
S10-65,11,MASCULINO,,,,,,,,,,,,
S10-66,11,MASCULINO,1,,,1,1,,,,,,,
